,dryve/driv/driven ,"pousser, conduire",to drive,treiben
,du ,"tu, toi",thou (you),du
,du/ded/don ,faire,to do,tun
,düktig,capable,efficient,tüchtig
,dum,"bête, stupide","dumb, stupide",dumm
,dunkel,obscur,"obscure,dim",dunkel
,dünn ,mince,thin,dünn
den,dunst,vapeur,steam,Dunst
,dür,cher (prix),expensive,teuer
,dürend ,"durant, pendant",during,während (Präp.)
,düster,morne,dismal,düster
den,dwaang,contrainte,constraint,Zwang
den,dwerg ,nain,dwarf,Zwerg
,dwinge/dwang/dwungen ,forcer,to force,zwingen
den,dy ,cuisse,thigh,Oberschenkel
,dy ,"toi, ton","thee (you), thy (your)",dein
,e'weg ,au loin,"away, gone","weg, fort"
den,ebbe ,marée basse,ebb tide,Ebbe
,edel,noble,noble,edel
,egen ,propre (à soi),own,eigen
den,egenschap,caractéristique,"characteristic, feature",Eigenschaft
,egentig,"véritable, à proprement parler",actual,eigentlich
dat,egg ,œuf,egg,Ei
,ehte,véritable,real,echt
den,eik ,chêne,oak,Eiche
dat,eiland ,île,island,Insel
,ein ,1,one,eins
dat,eir ,oreille,ear,Ohr
,eiske ,"demander, exiger","to ask, to demand","bitten, fordern"
,ekt ,véritable,"genuine, true","echt, wirklich"
,elch ,chaque,each,jeder
,elchander ,l’un l’autre,each other,einander
den,elf ,elfe (sub.),elf,Elfe
dat,elfenben,ivoire,ivory,Elfenbein
den,elk,élan,elk,Elch
,elve ,11,eleven,elf
den,emper ,seau,bucket,Eimer
,en ,article indéfini singulier,singular indefinite article,unbestimmter Artikel Singular
den,energ'ie,énergie,energy,Energie
,en'orm ,énorme,enormous,enorm
den,ende ,fin,end,Ende
,endegüldig ,définitif,definitive,endgültig
,endelig,enfin,finally,"endlich, schließlich"
den,engel ,ange,angel,Engel
,England ,Angleterre,England,England
,enkel ,"seul, isolé",single (adj.),einzeln
,episch ,épique,epic,episch
,er'holde/er'held/er'holden,obtenir,"to obtain, get",erhalten
,er'obre ,conquérir,to conquer,erobern
,er'sette ,remplacer,to replace,ersetzen
,erst,"autrefois, jadis","erst, once","erst, damals"
,er'tape ,prendre sur le fait,"to cop, to catch in the act",ertappen
den,ere,honneur,honor,Ehre
,erlig,honnête,honest,ehrlich
,erve,hériter,to inherit,erben
den,esel ,âne,"donkey, ass",Esel
,estimeere,estimer,"to estimate, esteem",schätzen
,et ,pronom personnel neutre singulier,neuter singular personal pronoun,Personalpronomen Neutrum Singular
,ete/at/eten ,manger,to eat,essen
den,etsig,vinaigre,vinegar,Essig
,Eur'opa ,Europe,Europe,Europa
,europ'äisch ,européen (adj.),European (adj.),europäisch
,Europ'äischen Uni'onen,Union Européenne,European Union,europäische Union
dat,evenem'ente ,événement,event,Ereignis
den,evolusjonen ,évolution,evolution,"Entwicklung, Evolution"
,ewig,éternel,eternal,ewig
dat,ex'empel ,exemple,example,Beispiel
,exepsjion'ell ,exceptionnel,exceptional,außergewöhnlich
den,fabr'ik,usine,factory,Fabrik
den,fabrik'anten,fabriquant,manufacturer,Fabrikant
den,fader ,père,father,Vater
den,faderschap ,paternité,"paternity, fatherhood",Vaterschaft
dat,fakt ,fait (subs.),fact,"Fakt, Tatsache"
den,falken ,faucon,"falcon, hawk",Falke
den,fall ,"chute, cas","fall, case",Fall
,falle/fell/fallen ,tomber,to fall,fallen
,fals ,faux (falsifié),"fake, falsified",falsch (gefälscht)
den,familje ,famille,family,Familie
den,fane ,drapeau,"flag, banner",Fahne
,fär,"juste, impartial","fair, just",fair
,färdig ,"prêt, préparé","ready, prepared",fertig
,färdigstelle ,compléter,to complete,fertigstellen
,fare/fur/faren,se déplacer en véhicule,to go in a vehicle,"in einem Fahrzeug gehen, fahren"
den,faren ,danger,danger,Gefahr
de,Färöj Eiländ,les Îles Féroé,the Faroe Islands,die Färöer
den,fart ,allure,speed,Geschwindigkeit
den,farve ,couleur,color,Farbe
,färve,teindre,to dye,färben
,fast ,solide,"firm, solid",fest
,fastsette,établir,"to establish, to set","festsetzen, festlegen"
,fatte,saisir,"to grasp, to take hold of",fassen
den,fatting ,"douille, cavité (ex : pour ampoule)","frame, receptacle, socket (such as for lightbulb)",Fassung (z. B. für Glühbirne)
,fau ,peu,few,wenige
den,fäust,poing,fist,Faust
den,favor'iten ,favori,favorite,"Favorit, Liebling"
den,febru'ar ,février,February,Februar
dat,feder ,plume,feather,Feder
,fehte/foht/fohten ,combattre,to fight,kämpfen
,felle,abattre (faire tomber),to fell,fällen
dat,felt ,champ (en général),field (in general),Feld (allgemein)
,femf ,cinq,five,fünf
,fer ,loin,far,fern
dat,fett ,graisse; gras,fat,Fett
dat,fie ,bétail,cattle,Vieh
,fiele ,sentir,to feel,fühlen
,fier,quatre,four,vier
den,fijand ,ennemi,enemy,Feind
den,fijandschap ,hostilité; inimitié,hostility,"Feindschaft, Feindseligkeit"
den,film,film,"movie, film",Film
den,filt,feutre,felt,Filz
den,fin'ansen ,finance,finance,Finanz(en)
,finde/fand/funden ,trouver,to find,finden
den,finger ,doigt,finger,Finger
